,predRecom,title
12196,Yes,great brand great inside
12197,No,good company doesnt want money easy going life reasonable income
12198,Yes,bad company work days
12199,Yes,worked years ibm
12200,Yes,satisfactory
12201,Yes,great good
12202,Yes,managing consultant
12203,Yes,specialist
12204,Yes,nice place settle
12205,No,days ibm
12206,Yes,needs focus product development
12207,Yes,provide good learning opportunity
12208,Yes,pros n cons working ibm
12209,Yes,good opportunities career growth exposure multiple technologies
12210,Yes,great company want various experience differnt areas grad start faboulous
12211,Yes,good company work
12212,Yes,intern
12213,Yes,experience ibm okay nothing boast nothing complain
12214,Yes,good experience
12215,Yes,good
12216,Yes,good bad
12217,Yes,lot opportunities across  lines business
12218,Yes,anonymous
12219,Yes,ibm encourages employees take challenges gives reasonable flexibility work
12220,Yes,good
12221,Yes,relax
12222,Yes,good door opener
12223,Yes,great place work unless know work
12224,Yes,great place work unless know work
12225,No,average
12226,Yes,network lead sme capacity planning network architect inventory management tivoli monitoring sla monitoring
12227,Yes,great resume builder
12228,Yes,good
12229,Yes,bad
12230,Yes,good place work begiing career
12231,Yes,great view explore
12232,Yes,hectic lot output
12233,Yes,excellent place work display talent
12234,Yes,overall good
12235,Yes,good learning
12236,Yes,ok
12237,Yes,good
12238,Yes,fair feel company understaffs overcommits across board
12239,Yes,still fun
12240,No,exhausting less benifiting
12241,Yes,pretty decent
12242,Yes,overall development key
12243,Yes,good
12244,Yes,decent place start career
12245,Yes,decent place start career
12246,Yes,similar working large corporation
12247,Yes,bad
12248,Yes,probably best big company overall
12249,No,underpaid
12250,Yes,awesome
12251,Yes,good working home
12252,Yes,just wonderdul environment will definitely learn lot
12253,Yes,satisfied short time
12254,Yes,ibm gives opportunity development
12255,No,good company need right mindset succeed
12256,Yes,good learning experience
12257,No,extremely stressful political beaurocratic
12258,Yes,ibmer
12259,Yes,good opportunities personal growth leadership lots process
12260,Yes,neutral experience
12261,Yes,familywomanworklife friendly place work
12262,Yes,good working environment positive career growth
12263,No,know want
12264,Yes,got good training good work opportunities
12265,Yes,good company work
12266,Yes,good
12267,Yes,great place work
12268,Yes,fair good people need work life balance
12269,Yes,long time ibm worker
12270,Yes,good bad
12271,No,good people work ibm large company means get lost crowd
12272,No,good company  survive layoffs
12273,Yes,ibm good place learn
12274,Yes,good worklife balance
12275,Yes,good
12276,Yes,really hoping
12277,Yes,good watch
12278,Yes,good
12279,Yes,great international experiences one imporant companies
12280,Yes,pace researchdevelopment market protracted slow
12281,Yes,great place work revenue generating  travel
12282,Yes,ok
12283,Yes,positive
12284,Yes,good opportunity understand customer perspectives
12285,Yes,used great place s
12286,Yes,ok
12287,Yes,mixed experience
12288,Yes,paycheck got mba good experience
12289,Yes,good place work good books management
12290,Yes,best women managers great source knowledge less professional growth
12291,Yes,satisfactory
12292,Yes,pulling teeth
12293,No,ok want retire
12294,Yes,good place develop skill set
12295,Yes,good work life balance
12296,Yes,great heritage brand values company well employees
12297,Yes,nice company work quality life balance market benefits
12298,Yes,excellent
12299,Yes,ibm place work thats
12300,No,good old days better
12301,Yes,open cool
12302,Yes,challenging
12303,Yes,good place learn technical support position
12304,Yes,lots opportunitytoo much overhead
12305,Yes,matrix  reporting
12306,Yes,vast pool knowledge
12307,Yes,working ibm just  rocky relationship really work hard  things works
12308,Yes,good experience far great place learn start beginner
12309,Yes,good bad
12310,Yes,ibm  challenge populated good people
12311,Yes,good experience learnt much
12312,Yes,good place learn place earn unless come huge package
12313,No,stuck stagnation years
12314,Yes,great place start career
12315,Yes,satisfactory
12316,No,brand name
12317,Yes,good experience
12318,Yes,good experience long time
12319,Yes,great company dont look staff well enough
12320,Yes,software engineer
12321,No,demanding alot times soul sucking
12322,Yes,good place balance life work
12323,Yes,ok rewarding salary
12324,Yes,ok rewarding salary
12325,No,great job university tops reorganizations create insurmountable chaos
12326,Yes,years experience
12327,Yes,bla
12328,Yes,first job interesting learning experience
12329,Yes,ure big fish lover place u
12330,Yes,high flexibilty compromised low challenging environment slow growth
12331,Yes,ok
12332,Yes,interesting
12333,No,average
12334,No,average
12335,Yes,strongest survive
12336,Yes,great longer
12337,Yes,working ibm ok good starter job
12338,Yes,great opportunity work diverse team
12339,Yes,ok
12340,Yes,satisfied
12341,Yes,satisfied
12342,Yes,pleasant sense purpose cutting edge technology
12343,Yes,forward thinking innovative company
12344,Yes,great company going  global changes
12345,Yes,ok
12346,Yes,worked paid good place start career get skills get
12347,Yes,learning
12348,Yes,good molding people
12349,Yes,just normal
12350,Yes,good bad
12351,Yes,big company lot bureaucracy hard move
12352,Yes,huge company
12353,Yes,ibm india good place work grow doesnt pay good money
12354,Yes,good
12355,Yes,good joining later age good starting career
12356,Yes,good work life balance poor career advancement salary growth
12357,Yes,good
12358,Yes,good entry level training freshers bad long time
12359,No,average
12360,No,wonderful place get experience shop run
12361,Yes,system administration server support
12362,Yes,ok
12363,Yes,lot people large egos
12364,Yes,great learning
12365,Yes,nice place work
12366,Yes,good
12367,Yes,big oraganization good people good stuffs
12368,Yes,neutral good learn technical management things
12369,No,uncertainty
12370,Yes,process oriented
12371,Yes,good place start career build experience
12372,Yes,great experience limited rewards
12373,Yes,stress
12374,Yes,educational
12375,No,started excellent declining becoming management shell lacking substance makes vs buys
12376,Yes,good
12377,Yes,good place start finish career
12378,Yes,satisfying
12379,Yes,positive experience
12380,Yes,fair employer
12381,No,relative ranking absolutely past time
12382,Yes,repetitive work
12383,No,good company want work overseas
12384,Yes,challenging sometimes fulfilling sometimes absolutely frustrating
12385,Yes,ok
12386,Yes,transitional
12387,Yes,average place work
12388,Yes,working fun team good
12389,No,often challenging never boring  also frustrating
12390,No,worth
12391,Yes,good people bureaucratic need recognize reward good performers
12392,Yes,smart nice people needs better organization
12393,Yes,birocratic
12394,No,roller coaster ride steady
12395,Yes,good
12396,Yes,may best services company india
12397,No,started good however went hill years
12398,Yes,decent place work better
12399,Yes,long marriage revitalized
12400,No,focused staff revenue
12401,Yes,provide insight industry getting overall view bit hard
12402,Yes,good one live
12403,Yes,good
12404,No,confusing
12405,No,respect employees
12406,Yes,proud ibmer happy job
12407,Yes,good start
12408,Yes,gud work culture hike
12409,Yes,ibm india friendly company correct firing without notice
12410,Yes,great opportunity
12411,Yes,big company good worklife balance
12412,Yes,great place work proud compensation
12413,Yes,good
12414,Yes,good bad
12415,Yes,good work life balance less impressive salary
12416,Yes,ibm good company settle
12417,Yes,okay ibm working place
12418,Yes,much know ibm overwhelming part learning company
12419,Yes,big company long youre entrepreneurial career youll fine
12420,Yes,feels great work large company
12421,Yes,good working environment person may achieve desires
12422,Yes,ibm retiring people
12423,Yes,good working place managers freshers
12424,Yes,good experience
12425,No,working gives mixed feeling certain things extreemly good things extreemly bad well
12426,Yes,internal processes reporting consumes time
12427,Yes,slow moving lot bureaucracy
12428,Yes,working ibm fairly dull
12429,Yes,work hard less recognized executives
12430,Yes,high level
12431,Yes,mixed certainly worthwhile
12432,Yes,decent opportunity
12433,Yes,experience rewarding
12434,Yes,good want take rest
12435,Yes,ok place work dont expect perks office
12436,Yes,interesting experience meeting new people learning new things high opportunity grow
12437,Yes,career paths opportunities gain new skills counts pennies
12438,Yes,good working place extremely low pay
12439,Yes,good
12440,Yes,ok work
12441,Yes,great career opportunities inconsistent incentive compensation challenging matrix management structure
12442,Yes,good
12443,No,comfortable life beware pbc
12444,No,bad dont enough professional training
12445,Yes,good
12446,Yes,ba
12447,Yes,good gain experience
12448,Yes,great place work right connections
12449,No,left decade
12450,Yes,depends want software group perspective
12451,Yes,flexible enough intermediate position levels easy advancement
12452,Yes,great history pessimistic future
12453,Yes,ok
12454,Yes,ibm good place work managerial company upto experience
12455,Yes,speak noticed
12456,No,controlled stock holders
12457,Yes,good place certainly best
12458,Yes,just average company china
12459,Yes,great ok work
12460,Yes,ok type
12461,Yes,best decent enough
12462,Yes,generally good place work lots excellent people held back terrible hr policies
12463,Yes,ok
12464,Yes,hard work market reward
12465,Yes,bad
12466,Yes,learned professional
12467,Yes,overall experience good
12468,Yes,comparatively low salary great resume opportunities
12469,Yes,wonderful place gain experience career growth
12470,Yes,challenging job huge experience
12471,Yes,good
12472,Yes,good
12473,Yes,professional courteous client oriented service
12474,No,old grey mare aint used
12475,Yes,colleagues continue ibm inertia
12476,Yes,bad
12477,No,mixed willing give time
12478,Yes,good
12479,Yes,good want settle bad hikes
12480,Yes,learned somthing destroing
12481,No,unchallenging workplace deadwoods aplenty
12482,Yes,good
12483,Yes,overall good
12484,No,ibm loosing charm
12485,Yes,small chances get fairly promoted
12486,Yes,challenging stimulating satisfying
12487,No,great place wait retirement
12488,Yes,ibm great place ensure work life balance professional growth
12489,Yes,just ok
12490,No,company used
12491,No,ibm culture changed lot past yr
12492,Yes,storage specialist
12493,Yes,good
12494,Yes,culture ibm changed lot
12495,Yes,good thing work home
12496,Yes,great learning place poor salary management
12497,Yes,ok place
12498,Yes,good place work
12499,Yes,learned lot things lot opportunities office politics ruined
12500,Yes,ok
12501,Yes,professional environment
12502,Yes,good start career
12503,Yes,good company need top career
12504,Yes,rewarding promotion  difficult
12505,Yes,good stable company
12506,No,worst place suitable beginners growth slow
12507,No,used
12508,Yes,great company
12509,Yes,good worklife balance low pay
12510,Yes,good ladies kids want work home
12511,No,negotiate much  join ibm
12512,Yes,good enough
12513,Yes,rd
12514,Yes,good contractors good permanant employees
12515,Yes,filled ups downs
12516,Yes,good work life balance
12517,Yes,average place
12518,Yes,junior position
12519,Yes,good place learn new stuff lot online courses
12520,Yes,elephant tripping
12521,Yes,good company work experience pay well
12522,Yes,good
12523,Yes,longer good company new technologies
12524,Yes,big blue
12525,Yes,excellent company wants work technology
12526,Yes,ok initially
12527,Yes,beginning good good fact now constant feeling beaten
12528,No,expectations extreme
12529,Yes,good
12530,No,lots politics poor pay
12531,Yes,good exposure work life balance
12532,Yes,good place work
12533,Yes,great company gain experience
12534,No,okay long ambitious
12535,Yes,good place learn poor place rewarding
12536,Yes,good big company
12537,Yes,job ok
12538,Yes,used great place
12539,Yes,later
12540,Yes,later
12541,No,neutral lukewarm ambivalent paycheck
12542,Yes,ok greatest
12543,Yes,get put
12544,No,thrown deep end
12545,No,good place first job sure long run though
12546,Yes,good work life balance poor career growth
12547,No,good brand name lots politics processes
12548,Yes,bad
12549,Yes,fairly ok
12550,Yes,structured process good communication within crossfunctional team good leadership constructed job
12551,Yes,ibm itdgdgts good technical growth
12552,Yes,good
12553,Yes,quarterly focus operational excellence building cohesive senior culture
12554,Yes,good experience
12555,Yes,good experience
12556,Yes,poorlypaid job
12557,Yes,bad
12558,Yes,good
12559,Yes,good
12560,Yes,great good average
12561,No,good name recognition much less strategy operational consulting
12562,Yes,typical organization
12563,Yes,boring meetings good lifework balance
12564,No,hard work recognized compensation follow
12565,No,hard work recognized compensation follow
12566,Yes,depending dept work will love hate company
12567,No,beautiful policy worst category management people kolkata
12568,Yes,positive
12569,No,declining
12570,Yes,okay
12571,Yes,good
12572,Yes,good place work however growth laggard
12573,Yes,software engineer
12574,Yes,good personal technical growth
12575,Yes,great company promote innovative thinking
12576,Yes,great now ok
12577,Yes,stressful
12578,Yes,decent expected
12579,No,heaven managers hell techies
12580,Yes,company lifetime maybe good start career
12581,Yes,company lifetime maybe good start career
12582,No,sales management sales operations getting blurred
12583,Yes,good campus work place
12584,Yes,good bad
12585,Yes,research ibm
12586,Yes,good amazing
12587,Yes,good working culture bad pay
12588,Yes,good education bad career advancement
12589,No,just gift wrapper brand name
12590,Yes,okay
12591,Yes,good
12592,Yes,ok place work
12593,Yes,good great
12594,Yes,enriching
12595,No,low pay cheap company
12596,No,looks good outside great training opportunities need fight attend ypu will plenty dead wood
12597,No,lots great people technology much infighting account control
12598,Yes,good want good worklife balance
12599,Yes,working ibm
12600,Yes,good job limited career upside
12601,Yes,diverse projects great people work system needs improvement
12602,No,great though downward slope
12603,Yes,fair
12604,Yes,pretty good need something corporation
12605,Yes,worked stressed paid
12606,Yes,good experience good project opportunities
12607,No,great benefits lower pay government style
12608,Yes,traditional fortune corporate type experience
12609,Yes,satisfactory
12610,Yes,satisfactory great
12611,Yes,good work life balance
12612,Yes,good place start fresh graduate
12613,Yes,changing
12614,Yes,marketing program management
12615,Yes,ok
12616,Yes,ibm good place work
12617,Yes,ibm isl good talented poolgood taking break
12618,Yes,great company work
12619,Yes,good place work
12620,Yes,apparenlty place
12621,Yes,comfortable working exp challenging enough
12622,Yes,bad
12623,Yes,good learning exp
12624,No,pyramid selling gone mad
12625,Yes,good place work freshers
12626,Yes,neutral
12627,Yes,fulfilling rewards mediocity
12628,No,high pressureyou either produce next layoff list
12629,Yes,great career development entire career
12630,Yes,bad
12631,Yes,long hours good place get unable grow career short period time
12632,Yes,hardly training preparation work
12633,Yes,intellectually challenging highly fragmented
12634,Yes,complex place work
12635,Yes,ok company work
12636,Yes,slow promotion steady
12637,Yes,excellent learning work
12638,Yes,decent entry level training
12639,No,never ending process much relevance important things always planned approach
12640,No,never ending process much relevance important things always planned approach
12641,Yes,good
12642,Yes,satisifed
12643,No,meh meh  duller
12644,Yes,software development
12645,Yes,pay okay environment bit claustrophobic
12646,Yes,reasonable place work
12647,Yes,typical
12648,Yes,rewarding growing experience several areas
12649,No,low level compensation difficult get promoted
12650,Yes,good place mangement people hike good salary
12651,No,flexible work environment dont expect monetary value
12652,Yes,good place work package uncompetitive
12653,Yes,brand name flexible work timings
12654,Yes,good company learn bad company terms compensation
12655,Yes,different big company good good things
12656,No,brand name nothing else managers paradise
12657,Yes,positive experience terms learning possibilities career moves
12658,Yes,big brand outside always catching within
12659,Yes,mixed experience
12660,Yes,ok
12661,Yes,hard work lack support finance recompense technical jobs
12662,Yes,lots
12663,Yes,huge human lab lots smart people looking  difference everyday
12664,Yes,regrets
12665,Yes,lots options pehonmenon huge firm
12666,Yes,lots options pehonmenon huge firm
12667,Yes,sap consultant
12668,Yes,good
12669,No,ok place work beware inflexible corporate culture
12670,Yes,ibm gives opportunities salary
12671,Yes,ok company work
12672,Yes,great company bureaucratic
12673,Yes,far good
12674,Yes,good worklife balance fair unspectacular compensation good benefits bureaucratic
12675,No,average
12676,Yes,pretty good
12677,Yes,great place minority ethnic
12678,Yes,good lateral entry
12679,Yes,good bad
12680,Yes,experience ibm challenging
12681,Yes,facilities old cafe bad
12682,Yes,good company learn lot management problems
12683,Yes,ok
12684,No,just stuation equle name
12685,No,used bad
12686,Yes,review
12687,Yes,ibm bangalore india review
12688,No,decent place work dont stay forever
12689,Yes,band
12690,Yes,good place work techies ibm
12691,Yes,overall great company
12692,Yes,good place start career
12693,Yes,great respect ibm employee eyes others thats ends
12694,Yes,consulting company
12695,Yes,great place start caeer
12696,Yes,good people slow organization
12697,Yes,impression big company
12698,Yes,keeping share holders happy
12699,Yes,review headline
12700,No,gereral review
12701,Yes,performance
12702,Yes,pros cons
12703,Yes,ibm
12704,Yes,employers review
12705,Yes,architect
12706,Yes,architect
12707,Yes,ibm consulting
12708,Yes,situation hungary ibm
12709,Yes,employer review
12710,No,handle frustration well  lower expectation quality work just surviveokay
12711,No,ibm learn grown achieve
12712,Yes,rsearch intern
12713,Yes,solution manager
12714,Yes,ibm
12715,Yes,consultant
12716,Yes,ibm review
12717,Yes,still good place work
12718,No,ibm company years ago
12719,No,ibm global services good work without expecting much pay
12720,No,lost
12721,Yes,definitely good place work
12722,Yes,ibm ok
12723,Yes,great place work
12724,Yes,good place good people
12725,No,life sucks
12726,Yes,coop experience
12727,Yes,ibm india pvt ltd kolkata
12728,Yes,good cv salaries competitive
12729,Yes,good place work
12730,Yes,decent place work
12731,Yes,career development theoretical practical
12732,Yes,goog place intern d
12733,Yes,good place work
12734,Yes,year ibm
12735,Yes,good work place  enjoy relaxation
12736,Yes,neutral
12737,Yes,good company work
12738,Yes,mixed messages management
12739,Yes,review ibm
12740,Yes,ibm
12741,Yes,good place gorwth team dependent
12742,Yes,ibm global service
12743,Yes,work home best part
12744,Yes,services
12745,Yes,good place work
12746,Yes,sample
12747,No,salary increase program
12748,Yes,ibm big global
12749,Yes,great good
12750,Yes,work ibm
12751,Yes,ea consultant sap implementation
12752,No,just another mnc
12753,Yes,consulting profession deserves value saledriven company
12754,Yes,quick review
12755,Yes,application programmer india
12756,Yes,come ibm wish relax
12757,Yes,ibm daksh
12758,Yes,ibmok
12759,Yes,great company
12760,Yes,system engineer
12761,Yes,system engineer
12762,Yes,good place
12763,Yes,good goes bad
12764,Yes,bad company work
12765,Yes,good company enough compensation
12766,Yes,ibm help desks
12767,Yes,decent job
12768,No,meh
12769,No,top heavy low increments manager dependent
12770,Yes,ibm lab
12771,No,rated one top canadian employers list since coincidence think
12772,Yes,good place build resume
12773,Yes,good place startup pure new career
12774,Yes,great place start career novelty wears soon
12775,Yes,mostly great place work
12776,Yes,consultant review
12777,Yes,ibm
12778,Yes,ups downs
12779,Yes,fine place work
12780,No,flexibility work remotely great major downside amount time spent laborious inflexible processes
12781,Yes,senior specialist ibm poland wroclaw
12782,Yes,great company
12783,Yes,ias rating
12784,Yes,ibm ok
12785,Yes,decent flawed
12786,Yes,architect
12787,Yes,fair employer outdated corporate culture
12788,No,strong company expect overworked underpaid
12789,Yes,ibm review yrs company
12790,No,race cut costs
12791,No,acceptable
12792,No,high brand value amongst clientspartners average employer india
12793,Yes,ibm
12794,Yes,ilog
12795,Yes,pros cons ibm
12796,No,join risk
12797,Yes,overall good stop career
12798,Yes,software developer
12799,Yes,great reputation
12800,No,finance jobs left australia
12801,No,managerial company
12802,Yes,good
12803,Yes,good worklife balance poor compensation
12804,Yes,new ibm
12805,Yes,good experienced hire
12806,No,ibm treats ok ready fired day
12807,Yes,getting worse still one best place stay
12808,Yes,lots opportunities
12809,Yes,transparency required sensitive employee
12810,Yes,still trying find place part recent acquisition
12811,Yes,ibm good place learn new technology
12812,Yes,good interms culture technology bad interms monetary benefits
12813,Yes,depends
12814,Yes,customer support engineer
12815,Yes,ibm india
12816,Yes,sort  college get put
12817,Yes,ibm
12818,Yes,good place work
12819,Yes,company ok work
12820,Yes,good
12821,Yes,consultant review
12822,Yes,fun place
12823,Yes,test automation development
12824,Yes,business analyst
12825,Yes,smart real substance
12826,No,great place work times yearly ras
12827,Yes,right person wrong place
12828,Yes,nice sounding place work fun
12829,Yes,regarding career compensation
12830,Yes,good place settle concerned money
12831,No,fading glory
12832,No,made pyramids long back nothing new happening
12833,No,barely ok
12834,Yes,working ibm
12835,Yes,us employees need local career growth opportunities
12836,No,good place start getting worse every day
12837,Yes,consulting
12838,Yes,ibm
12839,Yes,pros cons working ibm
12840,Yes,mix good opportunities roles skills underutilized
12841,Yes,good start limited advancement
12842,Yes,new ibm
12843,Yes,mixed place work
12844,No,major consultancies ok place spend years
12845,Yes,ibm architect
12846,No,add little value client charge
12847,Yes,good compensation benefits prepared travel lack career control
12848,Yes,good early career guess
12849,Yes,consultant
12850,Yes,options
12851,No,ibm increasingly bad management
12852,Yes,sales people technical specialist welcome
12853,Yes,ibm good company start career
12854,Yes,good place work
12855,Yes,ibm review
12856,Yes,ibm review
12857,Yes,great place work now less great
12858,Yes,good place start career mediocre place develop career
12859,Yes,review
12860,Yes,good place work
12861,No,say goodbye onshore opportunities
12862,Yes,great place technology career growth
12863,No,ibm facing imminent crisis
12864,Yes,managing consultant review
12865,Yes,top notch company
12866,Yes,good bad decide
12867,Yes,neutral
12868,No,long term shot
12869,Yes,ibm organization size mammoth users feedback may vary one business group another
12870,Yes,ibm great technology company job satisfaction depends job role environment
12871,Yes,good bad
12872,No,used great now ok
12873,No,great place work hrs week
12874,Yes,ibm
12875,Yes,stressful work
12876,Yes,years still wondering right employer
12877,Yes,vast ocean alas helping sailors
12878,Yes,big blue silos
12879,Yes,bad place work
12880,Yes,bad place work
12881,No,uncertainty norm
12882,Yes,good place work plenty room improvement
12883,Yes,review headline
12884,No,easiest way earn quick money
12885,Yes,good work poor opportunity
12886,Yes,overall good place work ibm will try pay large deals
12887,Yes,ibm systems analyst
12888,Yes,good resume builder
12889,Yes,great place work
12890,No,good indian service company
12891,Yes,ibm similar issues large company
12892,No,management fails manage employees career growth
12893,Yes,inside sales ibm global services
12894,Yes,great culture compensation poor gbs nonit consulting hard time dissociating brand synonymous
12895,No,better now now sweat shop used great place work world changed ibm
12896,Yes,slow cumbersome
12897,Yes,specialist ibm
12898,No,gone days
12899,No,solid corporation unfortunate trend upheaval divisions
12900,Yes,work good
12901,Yes,pretty good job moves india
12902,Yes,advisory specialist
12903,Yes,looking shoulder
12904,No,ibm stands im
12905,Yes,review years ibm global services
12906,Yes,good place start dont plan long career
12907,Yes,satisfactory
12908,Yes,ibm kolkata good local people outsiders
12909,No,ibm company used longer consider employees greatest asset
12910,No,ibm company used longer consider employees greatest asset
12911,Yes,ibm stepping toes
12912,No,dont know fill
12913,Yes,great place gain experience always look shoulder
12914,No,tough place survive
12915,Yes,work life integration
12916,Yes,ibm company expected
12917,No,job ibm australia
12918,Yes,review ibm research division
12919,No,mixed thoughts
12920,Yes,ok place work dont mind redtape part large herd
12921,Yes,good place internoffers flexibility looks good resume dont expect get job offer
12922,Yes,ibm changed better
12923,Yes,cons starting outweigh pros
12924,Yes,flexible workplace difficult influence
12925,Yes,review
12926,No,real handson talent people actually get job done recognized properly rewarded
12927,No,real handson talent people actually get job done recognized properly rewarded
12928,Yes,overall ibm great place establish career
12929,No,brand name work life balance poor paymaster
12930,Yes,great place start career
12931,No,take call
12932,No,dont stay long
12933,Yes,source
12934,Yes,good place want challange job
12935,No,mismanagement peak
12936,Yes,security blues
12937,No,ibm just name nothing else left
12938,Yes,ok
12939,Yes,good work life balance
12940,Yes,culture changed
12941,No,company used focus stock price people
12942,No,never think leaving company paid normal way according level skills
12943,Yes,internal thoughts
12944,Yes,working ibm india bangalore application progsince oct gr place workenjoy work life balance
12945,Yes,great worklife balance less great advancements
12946,No,ibm stg
12947,Yes,work environment
12948,Yes,ibm
12949,Yes,thing good able mention ibm resume
12950,Yes,resourceful conglomerate tribes pacing challenges
12951,Yes,pros cons working ibm
12952,Yes,pros cons working ibm
12953,No,relentless pursuit eps expense long term sustainable growth
12954,Yes,ibm daksh
12955,Yes,good place work unless
12956,Yes,pros cons
12957,Yes,fantastic
12958,Yes,ibm global services
12959,Yes,ok streamlined
12960,Yes,ibm user experience design
12961,Yes,review ibm services
12962,Yes,ibm good place start career
12963,No,much focus short term gains commitment future direction just lip service
12964,No,growth difficult rare
12965,No,join ibm luck factor
12966,Yes,good shareholder always fatantistic employee
12967,Yes,good shareholder always fatantistic employee
12968,Yes,specialist ibm global technology services
12969,Yes,ibm uk ltd global business services
12970,Yes,good place work
12971,Yes,consulting within large company
12972,No,great company products ridiculous quotas
12973,Yes,poor compensation benefits good flexibility
12974,Yes,nice engaging place work complex organization slow career
12975,No,good experience resume brand recognition new grads  get old quickly
12976,Yes,good place learn slow get promotion
12977,No,ibm massive individuals experience solely depends direct line manager
12978,Yes,great flexible place work
12979,Yes,ibm phenomenal money making machine strong products lacks ability foster employees
12980,Yes,ibm
12981,Yes,good work years
12982,Yes,good experience overall
12983,Yes,good place start leave years come back
12984,No,short term focus
12985,Yes,roles complex organisation salesman others
12986,Yes,really mnc culture
12987,Yes,excellent oldies good starters
12988,Yes,ibm global recssion
12989,Yes,good place get tech know
12990,Yes,pretty good far
12991,Yes,aggressive career
12992,Yes,great place start career
12993,Yes,good company couple years better technology sales
12994,Yes,update
12995,Yes,bad great
12996,Yes,eh
12997,No,ibm gbs cracked
12998,Yes,comments
12999,Yes,management times unhelpful
13000,No,just good brand name
13001,No,learn much  put pracitse dont expect paid well
13002,Yes,good place learn interesting stuff lifetime employer
13003,No,tough job ibm
13004,Yes,ibm
13005,Yes,review
13006,No,maybe ok starters ready go notsofaraway future
13007,Yes,bad place learn global company operates japan
13008,No,lost ether
13009,Yes,new krakow lab
13010,Yes,career advancement slow ibm
13011,Yes,ibm global business services good place start career offers limited opportunity advancement
13012,Yes,highly profitable company sread wealth
13013,No,please ensure acquired companies think work  ibm
13014,Yes,global enterprise opportunities downsides large enterprise
13015,Yes,good definitely bad
13016,No,love red tape find civil service lacking try ibm
13017,No,ibm nice company work expect fast grown career increase salary every year
13018,No,dissatisfied employee
13019,Yes,shabby
13020,Yes,excellent place graduates passion pursuing stable position
13021,Yes,good start stay long
13022,Yes,see ibm global services
13023,Yes,ibm systems technologo group plusses minuses
13024,Yes,short term
13025,No,big blue great place cut teeth leave makes bitter
13026,No,ibm low pay job
13027,No,socialist country
13028,Yes,ibm great resume
13029,Yes,ibm india avarage place work
13030,Yes,working ibm comfortable youre ambitious
13031,Yes,good start thats
13032,No,mediocre place
13033,Yes,ibm technology company
13034,Yes,reviewing ibm toronto lab
13035,No,living socialist country healthy quality life full soccer moms dads
13036,No,looking job company treats people  people just headcounts
13037,Yes,great place gain experience contacts global perspective get becoming institutionalized
13038,No,ibm nice place stay wouldnt want live
13039,No,better  youll wont able change afterwards
13040,Yes,loosen bring sense continuity business
13041,Yes,neutral
13042,Yes,ibm canada
13043,Yes,love job paid
13044,Yes,hope good managers else good place
13045,Yes,ibm
13046,No,good bad ugly
13047,No,good bad ugly
13048,No,hope  job start ibm wont change
13049,Yes,ibm india public sector undertaking
13050,No,came company sure ill stay
13051,Yes,want work great clients talent people low pay jobs
13052,No,ibm canada deep talent smothered process
13053,Yes,working ibm short term opportunity company stops working leave
13054,Yes,good
13055,Yes,saccharine
13056,No,ibm spain
13057,Yes,ibm markham job review
13058,Yes,good place start career sure leave good time
13059,No,good points longer company employer used
13060,Yes,good people want succeed
13061,Yes,better
13062,Yes,stable employee good worklife balance definitely run benefit shareholders
13063,No,appearance represent truth
13064,No,ibm slaps workers face salary increase top performers
13065,Yes,great experience
13066,Yes,love job sometimes feel let ibm
13067,Yes,ibm india large  difference
13068,Yes,neutral work place
13069,Yes,ibm sa ibm elsewhere
13070,No,elephant dance
13071,No,evaluate role ibm targets area specialisation making move
13072,No,revire ibm japan
13073,Yes,great place work others better
13074,Yes,director level made
13075,No,know ibm
13076,Yes,nice worklife balance dont care compensation
13077,Yes,neutral ibm india
13078,No,good pay management vision  often terrible
13079,No,ok much
13080,Yes,dedicated staff despite salary bureaucacy
13081,No,bad far lets see
13082,Yes,good work
13083,Yes,dream alarm goes
13084,Yes,ibm canadasounds good
13085,No,treat emplyees bit money making resources
13086,Yes,stage ibm
13087,Yes,focus op processen
13088,Yes,ssii tras bien organisae
13089,Yes,ibm une entreprise innovante
13090,Yes,veel mogelijk
13091,No,gros potentiel pas assez bien exploita
13092,Yes,plein possibilita trop process
13093,Yes,belle entreprise pour une dabut carriare et plus si affinita
13094,Yes,humain
13095,Yes,super
13096,Yes,ibm
13097,Yes,tras satisfait
13098,Yes,pleine tranformation
13099,Yes,doit transformer
13100,Yes,generell ok
13101,No,geht
13102,Yes,glassdoor entry
13103,Yes,ganz ok
13104,Yes,goede werkgever
13105,Yes,technical consultant
13106,Yes,assez bon
13107,Yes,key account manager
13108,Yes,rex ibm
13109,Yes,stage fin datudes gestion production
13110,Yes,business analyst
13111,Yes,consultant erp
13112,Yes,apprenti strategy analytics consultant
13113,Yes,apprenti strategy analytics consultant
13114,No,sen mgr
13115,Yes,grand groupe international
13116,Yes,big blue
13117,Yes,ibm
13118,Yes,junior
13119,Yes,presales
13120,Yes,onboarding
13121,Yes,multinationale
13122,Yes,apprentissage
13123,Yes,bon stage
13124,Yes,parcours motivant
13125,Yes,mon avis
13126,Yes,environnement stimulant
13127,Yes,quel dommagea
13128,Yes,stagiaire
13129,Yes,swdeveloper bei ibm
13130,Yes,une belle entreprise qui transforme
13131,Yes,super cool pour stage
13132,Yes,ibm
13133,No,bon ce
13134,Yes,goed technologie bedrijf
13135,Yes,positif
